K02RG5O 15.3   0.15 K1014  24.08923  300.73435  166.24518    5.46001  0.1884038  0.17937569   3.1138212  0 E2010-C46    75   5 2002-2010 0.49 M-v 38h MPC        1000          2002 RO165         20100210
K02RJ3J 15.2   0.15 K1014  72.52014  252.92177  162.89594   11.38471  0.1118031  0.18292126   3.0734531  0 E2010-C46    62   8 1996-2010 0.58 M-v 38h MPC        1000          2002 RJ193         20100209
K02S00E 15.4   0.15 K1014 253.57239  248.02543   15.17668   10.21535  0.0331453  0.19730473   2.9222075  1 E2010-C46    59   5 2000-2010 0.52 M-v 38h MPC        1000          2002 SE            20100210
K02S69X 19.4   0.15 K1014  53.64956  350.45795  338.89686    1.19174  0.2088367  0.28259009   2.2998425  3 E2010-C46    28   3 2001-2009 0.31 M-v 38h MPC        0000          2002 SX69          20091021
K02TF4S 15.1   0.15 K1014  94.25391  151.72789  221.59539    9.99765  0.2106768  0.17668171   3.1453935  1 E2010-C46   158   4 2002-2010 0.43 M-v 38h MPC        1000          2002 TS154         20100210
K02U24P 14.9   0.15 K1014 237.57848  215.67496   38.20475   12.75464  0.0135823  0.17411913   3.1761796  1 E2010-C46    46   4 2002-2010 0.45 M-v 38h MPC        0000          2002 UP24          20100209
K02VE3B 17.4   0.15 K1014 343.06323   72.58203   60.03114    3.30345  0.0995661  0.29783048   2.2207003  1 E2010-C46    65   5 2002-2010 0.52 M-v 38h MPC        1000          2002 VB143         20100209
K02X52S 16.4   0.15 K1014   8.38182  145.55045  273.95103    8.79623  0.1748777  0.27466977   2.3438446  1 E2010-C46   104   4 1998-2010 0.51 M-v 38h MPC        1000          2002 XS52          20100210
K03F27A 17.8   0.15 K1014 320.76435  188.08509  350.05807    4.08786  0.1201743  0.27314259   2.3525730  3 E2010-C46    21   2 2003-2010 0.55 M-v 38h MPC        0000          2003 FA27          20100210
K03Q58P 15.8   0.15 K1014 117.02960  256.47674  125.43132    5.85380  0.1276834  0.21960831   2.7208434  1 E2010-C46    34   4 2003-2010 0.55 M-v 38h MPC        0000          2003 QP58          20100210
K03Q99C 15.5   0.15 K1014  29.92930  272.94761  116.02161   18.43150  0.2987329  0.17658500   3.1465418  2 E2010-C46    38   3 2003-2010 0.53 M-v 38h MPC        0000          2003 QC99          20100210
K03S91O 16.2   0.15 K1014  87.82774   44.77807  357.33879    6.27584  0.0325275  0.20874300   2.8144580  2 E2010-C46    47   5 1998-2010 0.42 M-v 38h MPC        0000          2003 SO91          20100210
K03SK0P 14.7   0.15 K1014  30.44158  165.67304  223.60681   27.89484  0.1727382  0.17961807   3.1110192  1 E2010-C46    96   4 1998-2010 0.52 M-v 38h MPC        1000          2003 SP200         20100209
K03SN1C 15.6   0.15 K1014  94.24246  294.65356   29.37043    9.27965  0.0829137  0.18661555   3.0327562  1 E2010-C46    46   5 1998-2010 0.49 M-v 38h MPC        0000          2003 SC231         20100209
K03U37J 14.5   0.15 K1014  12.61159  174.07311  238.40034   19.21878  0.1533904  0.17242076   3.1970028  2 E2010-C46   139   2 2003-2010 0.46 M-v 38h MPC        0000          2003 UJ37          20100210
K03U78X 15.4   0.15 K1014 269.37304  158.45507    7.82796   17.13175  0.0657135  0.17815332   3.1280482  3 E2010-C46    24   3 2003-2010 0.45 M-v 38h MPC        0000          2003 UX78          20100208
K03UB8X 15.1   0.15 K1014 165.43207   48.46281  210.30850   13.77365  0.0791225  0.18099521   3.0952187  1 E2010-C46    68   5 2003-2010 0.55 M-v 38h MPC        1000          2003 UX118         20100208
K03UH5M 16.5   0.15 K1014  57.02187  173.93395  220.94696    5.76124  0.1633530  0.18576589   3.0419966  1 E2010-C46    43   4 1998-2010 0.28 M-v 38h MPC        0000          2003 UM175         20100108
K03UK5H 15.8   0.15 K1014 237.20488  307.99532  327.41437    6.36189  0.1001113  0.21843071   2.7306136  0 E2010-C46    69   6 2001-2010 0.47 M-v 38h MPC        1000          2003 UH205         20100210
K03UZ5R 16.2   0.15 K1014  17.46341   96.98567   13.06231    6.59865  0.1491187  0.19323201   2.9631252  1 E2010-C46    43   4 2003-2010 0.48 M-v 38h MPC        1000          2003 UR355         20100209
K03W33Q 15.7   0.15 K1014  56.62847   11.71256   42.09665    5.13122  0.2469310  0.18443472   3.0566163  2 E2010-C46    87   3 2003-2010 0.45 M-v 38h MPC        0000          2003 WQ33          20100209
K03W54Z 15.4   0.15 K1014  56.78913  162.92351  259.87647    9.18174  0.0679915  0.18666922   3.0321749  1 E2010-C46    66   4 2003-2010 0.58 M-v 38h MPC        1000          2003 WZ54          20100209
K03WF3J 15.7   0.15 K1014  21.89967  326.07306  119.10650   17.09786  0.2750650  0.17770604   3.1332948  2 E2010-C46    46   2 2003-2010 0.48 M-v 38h MPC        0000          2003 WJ153         20100211
K03WF3R 14.4   0.15 K1014  17.08669  249.63104  259.26150   24.28561  0.2541968  0.17623869   3.1506625  1 E2010-C46    79   4 1986-2010 0.50 M-v 38h MPC        0000          2003 WR153         20100211
K03X02B 15.0   0.15 K1014 117.50990  277.48418   78.66694   10.90053  0.1139337  0.18943679   3.0025702  1 E2010-C46    69   4 2002-2010 0.52 M-v 38h MPC        0000          2003 XB2           20100209
K03Y77D 15.5   0.15 K1014  37.91191    9.55392   75.73706   11.38967  0.1072885  0.17728607   3.1382412  1 E2010-C46    81   5 2002-2010 0.65 M-v 38h MPC        1000          2003 YD77          20100209
K03YE9X 15.1   0.15 K1014  95.42481    5.91296   20.07591   10.73081  0.0696262  0.18012629   3.1051648  1 E2010-C46    69   6 2002-2010 0.53 M-v 38h MPC        1000          2003 YX149         20100209
K04B77Z 15.3   0.15 K1014  12.66835   22.07538  123.43820   10.44492  0.0363117  0.17847993   3.1242309  1 E2010-C46    44   5 2003-2010 0.48 M-v 38h MPC        1000          2004 BZ77          20100211
K04CB2O 14.9   0.15 K1014  39.48581  126.99254  333.32740   20.90673  0.0603871  0.17306034   3.1891211  1 E2010-C46    40   4 2002-2010 0.55 M-v 38h MPC        0000          2004 CO112         20100209
K04D42W 15.2   0.15 K1014 355.80210  324.56293  239.50622   11.03166  0.0830542  0.18591328   3.0403887  1 E2010-C46    79   6 2001-2010 0.50 M-v 38h MPC        1000          2004 DW42          20100208
K04N00D 17.4   0.15 K1014 156.77760   32.20702  305.08244    1.66631  0.2794694  0.27081788   2.3660168  1 E2010-C46    44   5 2003-2010 0.40 M-v 38h MPC        0000          2004 ND            20100210
K04R48K 16.0   0.15 K1014   6.68438  187.67411  148.98163    6.24187  0.1744425  0.18442003   3.0567787  1 E2010-C46    56   4 1999-2008 0.45 M-v 38h MPC        0000          2004 RK48          20080507
K04RP0U 16.7   0.15 K1014  59.25123   81.26833  335.86765    2.65623  0.2304026  0.23275869   2.6173720  1 E2010-C46    70   5 1993-2010 0.46 M-v 38h MPC        0000          2004 RU250         20100210
K04RV7F 16.3   0.15 K1014  92.50065  133.66278  251.83091    6.96818  0.0931836  0.24238766   2.5475872  3 E2010-C46    58   4 2000-2010 0.51 M-v 38h MPC        0000          2004 RF317         20100209
K04RZ6Y 16.3   0.15 K1014  64.04427  315.20118   29.01750    9.59696  0.1104812  0.21509099   2.7588065  3 E2010-C46    22   3 2004-2009 0.42 M-v 38h MPC        0000          2004 RY356         20091108
K04S35V 16.1   0.15 K1014 225.31920  259.15163  310.56487    7.43299  0.0798897  0.23391147   2.6087654  1 E2010-C46    50   6 2002-2010 0.57 M-v 38h MPC        0000          2004 SV35          20100210
K04S62H 15.6   0.15 K1014 313.09501  236.56716  156.99341   12.68434  0.0827574  0.17509269   3.1643951  0 E2010-C46    51   5 2001-2009 0.40 M-v 38h MPC        1000          2004 SH62          20090817
